"from_country","to_country","total_points"
"fr","cy",59
"gb","cy",159
"ge","cy",67
"gr","cy",488
"hr","cy",103
"hu","cy",44
"ie","cy",119
"il","cy",124
"is","cy",104
"it","cy",70
"lt","cy",43
"lu","cy",8
"lv","cy",38
"mc","cy",24
"md","cy",40
"me","cy",48
"mk","cy",56
"mt","cy",151
"nl","cy",84
"no","cy",85
"pl","cy",51
"pt","cy",64
"ro","cy",76
"rs","cy",47
"ru","cy",93
"se","cy",111
"si","cy",62
"sk","cy",18
"sm","cy",74
"tr","cy",10
"ua","cy",34
"yu","cy",52
"ad","cz",0
"al","cz",3
"am","cz",43
"at","cz",56
"au","cz",50
"az","cz",34
"ba","cz",22
"be","cz",66
"bg","cz",26
"by","cz",39
"ch","cz",23
"cy","cz",40
"cz","cz",0
"de","cz",23
"dk","cz",6
"ee","cz",62
"es","cz",77
"fi","cz",73
"fr","cz",27
"gb","cz",34
"ge","cz",42
"gr","cz",34
"hr","cz",67
"hu","cz",47
"ie","cz",46
"il","cz",72
"is","cz",84
"it","cz",13
"lt","cz",27
"lv","cz",16
"md","cz",29
"me","cz",21
"mk","cz",39
"mt","cz",27
"nl","cz",24
"no","cz",20
"pl","cz",51
"pt","cz",57
"ro","cz",25
"rs","cz",39
"ru","cz",8
"se","cz",42
"si","cz",59
"sm","cz",39
"tr","cz",1
"ua","cz",24
"ad","de",5
"al","de",49
"am","de",11
"at","de",154
"au","de",15
"az","de",6
"ba","de",33
"be","de",169
"bg","de",21
"by","de",8
"ch","de",193
"cs","de",0
"cy","de",55
"cz","de",4
"de","de",0
"dk","de",193
"ee","de",50
"es","de",237
"fi","de",100
"fr","de",154
"gb","de",171
"ge","de",15
"gr","de",37
"hr","de",35
"hu","de",24
"ie","de",168
"il","de",83
"is","de",77
"it","de",107
"lt","de",32
"lu","de",87
"lv","de",44
"ma","de",10
"mc","de",60
"md","de",10
"me","de",0
"mk","de",11
"mt","de",41
"nl","de",167
"no","de",120
"pl","de",64
"pt","de",185
"ro","de",38
"rs","de",18
"ru","de",38
"se","de",150
"si","de",42
"sk","de",19
"sm","de",14
"tr","de",86
"ua","de",10
"yu","de",52
"ad","dk",18
"al","dk",20
"am","dk",18
"at","dk",130
"au","dk",46
"az","dk",17
"ba","dk",12
"be","dk",120
"bg","dk",34
"by","dk",36
"ch","dk",85
"cs","dk",0
"cy","dk",81
"cz","dk",31
"de","dk",150
"dk","dk",0
"ee","dk",144
"es","dk",101
"fi","dk",127
"fr","dk",129
"gb","dk",176
"ge","dk",34
"gr","dk",46
"hr","dk",68
"hu","dk",112
"ie","dk",195
"il","dk",144
"is","dk",268
"it","dk",111
"lt","dk",77
"lu","dk",37
"lv","dk",136
"ma","dk",2
"mc","dk",34
"md","dk",33
"me","dk",31
"mk","dk",31
"mt","dk",92
"nl","dk",218
"no","dk",314
"pl","dk",81
"pt","dk",84
"ro","dk",84
"rs","dk",45
"ru","dk",61
"se","dk",307
"si","dk",123
"sk","dk",16
"sm","dk",35
"tr","dk",32
"ua","dk",56
"yu","dk",7
"ad","ee",0
"al","ee",29
"am","ee",39
"at","ee",55
"au","ee",40
"az","ee",34
"ba","ee",19
"be","ee",57
"bg","ee",23
"by","ee",64
"ch","ee",38
"cs","ee",4
"cy","ee",57
"cz","ee",50
"de","ee",69
"dk","ee",95
"ee","ee",0
"es","ee",72
"fi","ee",243
"fr","ee",76
"gb","ee",102
"ge","ee",68
"gr","ee",57
"hr","ee",35
"hu","ee",55
"ie","ee",135
"il","ee",96
"is","ee",103
"it","ee",40
"lt","ee",159
"lv","ee",229
"mc","ee",5
"md","ee",76
"me","ee",24
"mk","ee",38
"mt","ee",51
"nl","ee",75
"no","ee",65
"pl","ee",104
"pt","ee",102
"ro","ee",45
"rs","ee",52
"ru","ee",64
"se","ee",149
"si","ee",68
"sk","ee",48
"sm","ee",30
"tr","ee",22
"ua","ee",51
"ad","es",60
"al","es",68
"am","es",39
"at","es",83
"au","es",36
"az","es",26
"ba","es",30
"be","es",169
"bg","es",29
"by","es",2
"ch","es",191
"cs","es",0
"cy","es",143
"cz","es",16
"de","es",134
"dk","es",43
"ee","es",16
"es","es",0
"fi","es",102
"fr","es",194
"gb","es",105
"ge","es",13
"gr","es",158
"hr","es",55
"hu","es",18
"ie","es",91
"il","es",136
"is","es",35
"it","es",120
"lt","es",23
"lu","es",91
"lv","es",25
"ma","es",5
"mc","es",57
"md","es",27
"me","es",22
"mk","es",27
"mt","es",79
"nl","es",103
"no","es",94
"pl","es",28
"pt","es",256
"ro","es",57
"rs","es",19
"ru","es",22
"se","es",78
"si","es",27
"sk","es",4
"sm","es",25
"tr","es",118
"ua","es",7
"yu","es",49
"ad","fi",49
"al","fi",47
"am","fi",28
"at","fi",79
"au","fi",37
"az","fi",31
"ba","fi",20
"be","fi",113
"bg","fi",38
"by","fi",27
"ch","fi",125
"cs","fi",15
"cy","fi",65
"cz","fi",62
"de","fi",125
"dk","fi",123
"ee","fi",259
"es","fi",130
"fi","fi",0
"fr","fi",86
"gb","fi",158
"ge","fi",31
"gr","fi",111
"hr","fi",46
"hu","fi",36
"ie","fi",140
"il","fi",127
"is","fi",219
"it","fi",63
"lt","fi",65
"lu","fi",36
"lv","fi",85
"ma","fi",0
"mc","fi",41
"md","fi",42
"me","fi",9
"mk","fi",48
"mt","fi",77
"nl","fi",93
"no","fi",204
"pl","fi",106
"pt","fi",97
"ro","fi",54
"rs","fi",71
"ru","fi",43
"se","fi",253
"si","fi",49
"sk","fi",2
"sm","fi",53
"tr","fi",40
"ua","fi",35
"yu","fi",39
"ad","fr",26
"al","fr",60
"am","fr",97
"at","fr",162
"au","fr",39
"az","fr",16
"ba","fr",59
"be","fr",201
"bg","fr",34
"by","fr",11
"ch","fr",204
"cs","fr",0
"cy","fr",120
"cz","fr",19
"de","fr",181
"dk","fr",98
"ee","fr",67
"es","fr",177
"fi","fr",156
"fr","fr",0
"gb","fr",143
"ge","fr",24
"gr","fr",163
"hr","fr",62
"hu","fr",15
"ie","fr",179
"il","fr",176
"is","fr",120
"it","fr",151
"lt","fr",78
"lu","fr",121
"lv","fr",37
"ma","fr",1
"mc","fr",101
"md","fr",25
"me","fr",12
"mk","fr",27
"mt","fr",47
"nl","fr",189
"no","fr",183
"pl","fr",54
"pt","fr",164
"ro","fr",31
"rs","fr",39
"ru","fr",66
"se","fr",170
"si","fr",49
"sk","fr",0
"sm","fr",34
"tr","fr",38
"ua","fr",53
"yu","fr",93
"ad","gb",6
"al","gb",45
"am","gb",16
"at","gb",209
"au","gb",36
"az","gb",27
"ba","gb",33
"be","gb",199
"bg","gb",32
"by","gb",6
"ch","gb",218
"cs","gb",0
"cy","gb",94
"cz","gb",29
"de","gb",205
"dk","gb",166
"ee","gb",62
"es","gb",166
"fi","gb",161
"fr","gb",209
"gb","gb",0
"ge","gb",23
"gr","gb",91
"hr","gb",66
"hu","gb",38
"ie","gb",268
"il","gb",175
"is","gb",58
"it","gb",142
"lt","gb",36
"lu","gb",174
"lv","gb",41
"ma","gb",8
"mc","gb",83
"md","gb",18
"me","gb",7
"mk","gb",36
"mt","gb",168
"nl","gb",167
"no","gb",175
"pl","gb",50
"pt","gb",192
"ro","gb",31
"rs","gb",11
"ru","gb",38
"se","gb",186
"si","gb",50
"sk","gb",17
"sm","gb",45
"tr","gb",126
"ua","gb",37
"yu","gb",95
"ad","ge",0
"al","ge",5
"am","ge",141
"at","ge",2
"au","ge",15
"az","ge",89
"ba","ge",5
"be","ge",32
"bg","ge",40
"by","ge",88
"ch","ge",2
"cy","ge",57
"cz","ge",23
"de","ge",27
"dk","ge",6
"ee","ge",49
"es","ge",13
"fi","ge",22
"fr","ge",10
"gb","ge",27
"ge","ge",0
"gr","ge",83
"hr","ge",16
"hu","ge",26
"ie","ge",14
"il","ge",53
"is","ge",15
"it","ge",17
"lt","ge",147
"lv","ge",58
"md","ge",52
"me","ge",4
"mk","ge",15
"mt","ge",30
"nl","ge",13
"no","ge",2
"pl","ge",59
"pt","ge",21
"ro","ge",6
"rs","ge",17
"ru","ge",70
"se","ge",15
"si","ge",16
"sk","ge",0
"sm","ge",17
"tr","ge",65
"ua","ge",115
"ad","gr",34
"al","gr",294
"am","gr",169
"at","gr",67
"au","gr",25
"az","gr",113
"ba","gr",63
"be","gr",157
"bg","gr",175
"by","gr",66
"ch","gr",130
"cs","gr",35
"cy","gr",513
"cz","gr",31
"de","gr",148
"dk","gr",69
"ee","gr",42
"es","gr",203
"fi","gr",110
"fr","gr",155
"gb","gr",154
"ge","gr",77
"gr","gr",0
"hr","gr",83
"hu","gr",71
"ie","gr",61
"il","gr",134
"is","gr",85
"it","gr",86
"lt","gr",41
"lu","gr",29
"lv","gr",43
"ma","gr",0
"mc","gr",31
"md","gr",110
"me","gr",77
"mk","gr",58
"mt","gr",137
"nl","gr",160
"no","gr",131
"pl","gr",70
"pt","gr",140
"ro","gr",168
"rs","gr",94
"ru","gr",119
"se","gr",70
"si","gr",93
"sk","gr",31
"sm","gr",158
"tr","gr",81
"ua","gr",50
"yu","gr",17
"ad","hr",0
"al","hr",55
"am","hr",21
"at","hr",136
"au","hr",11
"az","hr",24
"ba","hr",176
"be","hr",20
"bg","hr",44
"by","hr",36
"ch","hr",113
"cs","hr",42
"cy","hr",61
"cz","hr",23
"de","hr",98
"dk","hr",10
"ee","hr",27
"es","hr",35
"fi","hr",25
"fr","hr",34
"gb","hr",34
"ge","hr",12
"gr","hr",48
"hr","hr",0
"hu","hr",44
"ie","hr",56
"il","hr",46
"is","hr",49
"it","hr",16
"lt","hr",32
"lu","hr",0
"lv","hr",29
"mc","hr",16
"md","hr",19
"me","hr",60
"mk","hr",172
"mt","hr",95
"nl","hr",57
"no","hr",34
"pl","hr",30
"pt","hr",45
"ro","hr",39
"rs","hr",107
"ru","hr",36
"se","hr",34
"si","hr",235
"sk","hr",27
"sm","hr",18
"tr","hr",55
"ua","hr",80
"ad","hu",17
"al","hu",59
"am","hu",10
"at","hu",79
"au","hu",16
"az","hu",69
"ba","hu",14
"be","hu",52
"bg","hu",47
"by","hu",37
"ch","hu",62
"cs","hu",14
"cy","hu",46
"cz","hu",48
"de","hu",67
"dk","hu",50
"ee","hu",107
"es","hu",66
"fi","hu",114
"fr","hu",68
"gb","hu",28
"ge","hu",28
"gr","hu",45
"hr","hu",112
"hu","hu",0
"ie","hu",37
"il","hu",56
"is","hu",91
"it","hu",15
"lt","hu",29
"lv","hu",32
"mc","hu",0
"md","hu",27
"me","hu",46
"mk","hu",29
"mt","hu",34
"nl","hu",82
"no","hu",57
"pl","hu",95
"pt","hu",47
"ro","hu",136
"rs","hu",156
"ru","hu",54
"se","hu",65
"si","hu",42
"sk","hu",10
"sm","hu",64
"tr","hu",25
"ua","hu",61
"ad","ie",6
"al","ie",20
"am","ie",4
"at","ie",214
"au","ie",38
"az","ie",20
"ba","ie",54
"be","ie",213
"bg","ie",13
"by","ie",11
"ch","ie",217
"cs","ie",1
"cy","ie",106
"cz","ie",32
"de","ie",178
"dk","ie",187
"ee","ie",100
"es","ie",179
"fi","ie",144
"fr","ie",122
"gb","ie",337
"ge","ie",0
"gr","ie",108
"hr","ie",70
"hu","ie",48
"ie","ie",0
"il","ie",98
"is","ie",82
"it","ie",129
"lt","ie",87
"lu","ie",116
"lv","ie",55
"ma","ie",0
"mc","ie",51
"md","ie",9
"me","ie",4
"mk","ie",16
"mt","ie",112
"nl","ie",176
"no","ie",198
"pl","ie",53
"pt","ie",143
"ro","ie",47
"rs","ie",3
"ru","ie",39
"se","ie",245
"si","ie",44
"sk","ie",27
"sm","ie",23
"tr","ie",124
"ua","ie",12
"yu","ie",64
"ad","il",45
"al","il",69
"am","il",92
"at","il",124
"au","il",80
"az","il",151
"ba","il",34
"be","il",192
"bg","il",81
"by","il",83
"ch","il",196
"cs","il",6
"cy","il",147
"cz","il",72
"de","il",202
"dk","il",80
"ee","il",29
"es","il",181
"fi","il",209
"fr","il",284
"gb","il",194
"ge","il",70
"gr","il",83
"hr","il",85
"hu","il",51
"ie","il",170
"il","il",0
"is","il",81
"it","il",124
"lt","il",69
"lu","il",84
"lv","il",32
"mc","il",50
"md","il",57
"me","il",26
"mk","il",75
"mt","il",139
"nl","il",211
"no","il",188
"pl","il",96
"pt","il",161
"ro","il",109
"rs","il",68
"ru","il",87
"se","il",156
"si","il",51
"sk","il",13
"sm","il",64
"tr","il",63
"ua","il",94
"yu","il",61
"ad","is",24
"al","is",33
"am","is",29
"at","is",95
"au","is",62
"az","is",7
"ba","is",9
"be","is",106
"bg","is",17
"by","is",53
"ch","is",103
"cs","is",2
"cy","is",48
"cz","is",71
"de","is",84
"dk","is",217
"ee","is",117
"es","is",150
"fi","is",209
"fr","is",94
"gb","is",153
"ge","is",34
"gr","is",71
"hr","is",36
"hu","is",109
"ie","is",82
"il","is",67
"is","is",0
"it","is",50
"lt","is",69
"lu","is",13
"lv","is",117
"mc","is",6
"md","is",48
"me","is",29
"mk","is",15
"mt","is",82
"nl","is",85
"no","is",188
"pl","is",93
"pt","is",152
"ro","is",25
"rs","is",53
"ru","is",32
"se","is",207
"si","is",62
"sk","is",19
"sm","is",57
"tr","is",34
"ua","is",38
"yu","is",4
"al","it",180
"am","it",50
"at","it",162
"au","it",33
"az","it",66
"ba","it",12
"be","it",165
"bg","it",31
"by","it",18
"ch","it",241
"cy","it",154
"cz","it",37
"de","it",155
"dk","it",44
"ee","it",56
"es","it",275
